Component1_fraction,Component2_fraction,Component3_fraction,Component4_fraction,Component5_fraction,Component1_Contribution_Property1,Component2_Contribution_Property1,Component3_Contribution_Property1,Component4_Contribution_Property1,Component5_Contribution_Property1,Component1_Contribution_Property2,Component2_Contribution_Property2,Component3_Contribution_Property2,Component4_Contribution_Property2,Component5_Contribution_Property2,Component1_Contribution_Property3,Component2_Contribution_Property3,Component3_Contribution_Property3,Component4_Contribution_Property3,Component5_Contribution_Property3,Component1_Contribution_Property4,Component2_Contribution_Property4,Component3_Contribution_Property4,Component4_Contribution_Property4,Component5_Contribution_Property4,Component1_Contribution_Property5,Component2_Contribution_Property5,Component3_Contribution_Property5,Component4_Contribution_Property5,Component5_Contribution_Property5,Component1_Contribution_Property6,Component2_Contribution_Property6,Component3_Contribution_Property6,Component4_Contribution_Property6,Component5_Contribution_Property6,Component1_Contribution_Property7,Component2_Contribution_Property7,Component3_Contribution_Property7,Component4_Contribution_Property7,Component5_Contribution_Property7,Component1_Contribution_Property8,Component2_Contribution_Property8,Component3_Contribution_Property8,Component4_Contribution_Property8,Component5_Contribution_Property8,Component1_Contribution_Property9,Component2_Contribution_Property9,Component3_Contribution_Property9,Component4_Contribution_Property9,Component5_Contribution_Property9,Component1_Contribution_Property10,Component2_Contribution_Property10,Component3_Contribution_Property10,Component4_Contribution_Property10,Component5_Contribution_Property10,WeightedAvg_Property1,WeightedAvg_Property2,WeightedAvg_Property3,WeightedAvg_Property4,WeightedAvg_Property5,WeightedAvg_Property6,WeightedAvg_Property7,WeightedAvg_Property8,WeightedAvg_Property9,WeightedAvg_Property10,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
0.21,0.0,0.42,0.25,0.12,-0.004574270332650732,0.0,0.008414961463672637,0.035078781013666224,0.12384346357268167,-0.2582578859778734,-0.0,0.05627917721501115,0.20445879478673154,0.025933966569761685,-0.08259763139536488,0.0,0.2755635023680118,0.018615269463498226,-0.3699525042808383,-0.37024783160736585,0.0,-0.6502081019671406,-0.413572396711157,-0.1692059113468996,0.010873691877263501,0.0,-0.1809647568937661,0.4359019304425331,0.03560553661723803,-0.31149995475512404,-0.0,0.6314461703640224,0.005760660011819325,0.20895631336276102,-0.10696975734524858,-0.0,-0.5534236807126525,0.0330387303136883,0.026548427513647402,0.061701129445190406,-0.0,-0.3855564670742936,-0.06867588071956175,0.0615990602737726,0.1008773306615754,0.0,-0.18940144106979534,0.16864294836121088,-0.07636731789653377,-0.2614422138923131,-0.0,-0.1320576984350991,0.24839835706262955,-0.3274714003320779,0.1627629357173698,0.028414052593630945,-0.15837136384469316,-1.603234241632563,0.3014164020432685,0.5346631889834788,-0.6008062802305654,-0.33093215807489235,0.0037515200564571805,-0.4725729555968605,0.4891432533865898,0.6075885327363487,0.3216703677115312,-1.2360546972600914,1.6011320973053915,1.3846623618740992,0.3058495749984994,0.1934599398371543,0.5803742494278266,-0.7627375675516355
0.02,0.33,0.19,0.46,0.0,-0.00448678351100248,0.3788519894955187,-0.21048963426951656,0.06878522769503904,-0.0,-0.021500823381279295,0.2946355567554405,0.2590599504000595,-0.8020947039256617,0.0,-0.013821679557677996,-0.08435446341789254,0.2414474367807607,-0.15354717775367038,-0.0,-0.037394189551894434,0.2957572517943004,-0.29282836604851736,-0.11257896654128709,-0.0,-0.007506795120094762,0.3570491454192975,-0.003283458141433522,-0.8803020381673236,-0.0,-0.004442894311618144,0.11355606408374631,0.1336393909464108,-0.3390756734008552,0.0,-0.02409341046211445,0.26261065935033706,0.047210555147287524,0.16860847090281852,0.0,0.01896675242824159,0.2681648935696717,-0.10919763225074454,-0.3852969312254504,0.0,-0.03917652413871284,-0.006468938365824528,-0.15350538791730456,0.06840875629347662,0.0,-0.02320869647912858,-0.004711140900810465,-0.025833848424210347,-0.561731489439035,0.0,0.2326607994100387,-0.269900020151441,-0.010275883948480224,-0.14704427034739848,-0.5340431460095544,-0.09632311268231622,0.4543362749383286,-0.20736291747828162,-0.13074209412836532,-0.6154851752431844,-1.257481312010733,-1.4752827417741183,-0.437385065829467,-1.4029112792401803,0.1479412457250036,-1.1432437104946194,-0.4391713367454615,-1.3790407671247746,-1.2809886853631245,-0.5036254895836161
0.08,0.08,0.18,0.5,0.16,0.03662103793025916,0.019407267218642287,-0.1660485702947212,0.454106452711017,0.15552053239080318,0.019232342296879857,0.1768003790590748,-0.47743442691739363,-0.29692549892647246,-0.10852081309347197,-0.021650094899136985,0.11472444814372952,0.08989297205911499,-0.4708366123465624,0.23006387800776704,-0.2450311308437421,-0.022286293140086344,0.06413531418562186,0.2401604008005861,-0.0075366776444632,0.014867606555575888,-0.0016250003287260001,-0.13040492067357273,-1.0679024249920395,-0.4884538598429053,-0.12155740855415703,-0.008235452810528657,0.11047317857511522,-0.29598870438045183,0.29386129209228573,0.001649553787235456,0.16366668769433773,-0.30412426331624404,-0.13956641564313754,-0.10639458697445862,-0.053690861077020806,0.03182466004461278,0.38680389829992984,-0.49155744688829,0.16630763923527403,-0.06391824462880813,-0.03552212826053509,0.02671287085018827,-0.39680358816697403,0.019813429190859856,0.000546304697688072,0.0534986898686355,0.0027808447741940337,-0.04933031413194715,-0.06789022748306332,0.4996067199560005,-0.6868480175813834,-0.057805409035087824,0.029441613357916337,-1.6735185992816677,-0.021447095077736567,-0.384769024452267,0.03968788961450581,-0.4497176610152691,-0.06039470227449287,1.7843486974490672,0.4504672382036853,0.6226869307869605,1.3756135424282403,-0.4287896957393736,1.1616162827200678,0.6012889020693817,0.8729500080013456,0.6599999340605597,2.024575938538991
0.25,0.42,0.0,0.07,0.26,-0.14443343913405163,-0.3909467651260115,0.0,0.031326002034174495,0.11848635412664789,-0.14695371603259252,0.8242838487909798,-0.0,0.01882567276854852,0.053902610398468234,0.2282350132186211,-0.21624461491582683,0.0,0.022345122327869126,-0.3478736792409116,0.18374408222834498,-0.09703801288050218,0.0,0.0694697137042716,-0.25238198009662105,-0.059566569302510676,0.2041673203064897,0.0,0.03243209532140693,0.2773515455537644,-0.28645180411525606,0.057073157296070036,-0.0,0.06377890021558585,-0.06791541956226116,-0.13476529375525667,-0.6548157689151227,-0.0,0.06519785718005577,-0.02509237503681449,0.1886264544069407,0.9877363803310908,-0.0,-0.01929018788865082,-0.33110669484435534,-0.13353381195533615,0.4853153329498604,-0.0,0.03151114370349639,-0.2531824881065726,0.013243041824543425,-0.430409646449049,0.0,0.16803892475428187,-0.14987186612694434,-0.38556784809924083,0.750058415925404,-0.3135381586102482,-0.09620619704450664,0.45438439187915036,-0.23351516616586132,-0.7494755805271381,0.8259659520050253,0.13011017659144802,-0.398999545997168,-0.0664219813006188,0.4837304382510474,-1.86544238253051,-0.0462947214020736,-0.1638196619001531,-0.2096928316440718,-1.8405655038551727,0.3002933987559251,-0.351336305975824,-1.5519142045934464
0.26,0.16,0.08,0.5,0.0,0.03130788729461326,0.10660284488058837,-0.05015473930985037,1.36267861886959,0.0,0.033179728404790866,-0.028388856006912606,-0.12140258634042982,0.05723901859509655,0.0,0.3490176536495968,-0.001086894963743424,-0.029652724933714385,0.2882548323252354,0.0,-0.15081559348886728,-0.17278336616502657,-0.10642940543589263,-0.76123045838717,0.0,0.16601814317601252,-0.02299598312664664,-0.019131055329889665,0.6607652751137522,0.0,0.03861995832651164,0.04512747193441825,0.01918769027993727,0.2100000123783956,-0.0,-0.15415769574368104,0.32817275341074054,-0.035433777579661416,-0.02513127253025255,0.0,-0.20616191962431504,0.009659912710425985,-0.06284696697629986,0.7070581758351459,0.0,-0.10123100938097519,0.2878781003884718,-0.0729898905779505,0.8837786437387892,-0.0,0.5472798252757982,0.13737488937091663,-0.03752877196756705,0.35789439159339304,-0.0,1.4504346117349414,-0.059372695347455005,0.6065328660773743,-1.1912588234769563,0.7846563798332283,0.3129351329192628,0.11345000755714552,0.44770920194495695,0.9974358441683353,1.0050203342725408,-0.1189125768046637,-1.172398318578621,0.3017854466883244,-1.7874068811942954,-0.4933611015639672,-0.5280486823931384,0.2863439189439016,-0.2651921974935768,0.4305133082369839,0.7350734293740209
0.5,0.0,0.0,0.5,0.0,-0.5630161497910184,0.0,-0.0,-0.30617647591836444,0.0,-0.21587253262090775,0.0,-0.0,-0.6840702405878597,0.0,0.0080814680878063,0.0,-0.0,-0.5214928633619926,-0.0,-0.4804309967262596,0.0,0.0,0.04241739569515505,0.0,-0.00859347584660455,-0.0,-0.0,-0.26072214628621815,-0.0,1.5915116850406574,0.0,-0.0,0.0984685988298496,-0.0,0.01439756564443935,-0.0,0.0,0.1434988271448968,-0.0,-0.3831594069900456,-0.0,-0.0,0.2777330261966177,-0.0,0.28723371995583635,-0.0,-0.0,0.3463726137131483,-0.0,-0.00097533992886115,0.0,-0.0,0.1390335365339591,-0.0,-0.8691926257093829,-0.8999427732087675,-0.5134113952741863,-0.43801360103110454,-0.2693156221328227,1.689980283870507,0.15789639278933615,-0.10542638079342787,0.6336063336689847,0.13805819660509797,-1.517786946987647,-1.907974774910544,0.3049853190368886,-1.2650732332566283,1.5582181816331466,1.1449484371311094,0.289515570334895,-0.2726559048974892,0.1792871982406693,0.439889425567733
0.22,0.0,0.3,0.26,0.22,-0.30152257439751967,0.0,-0.04536721347503105,0.005741974096133288,-0.23918378979736796,0.4287745271185558,0.0,0.30204322541755646,0.11215187270656901,-0.0642020790524981,-0.12899559260304147,0.0,0.2827986363802914,0.3190242055558849,-0.08358467933692118,-0.24043213917013168,0.0,-0.11396544110008679,-0.16513966573832659,0.24033343489370176,-0.13674240380336022,0.0,0.16183512813465942,0.03489054356443373,0.1252770145963417,0.04110439364694564,0.0,-0.11242763529782553,-0.1088098781635689,0.10283805028586988,-0.4254989084607519,0.0,0.470909323019594,-0.14950804198622494,0.22438433138713648,0.23357743450032256,0.0,-0.00729343061570958,0.38843008746488483,-0.25843812316828524,0.020116757183519546,0.0,0.1635042380942341,-0.08153444605834737,-0.20816482090738928,0.012147978255848249,0.0,0.3063867148374975,0.2499386454297398,-0.02199645412898848,-0.5803316035737853,0.7787675461901832,0.38924256999621365,-0.27920381111484327,0.1852602824920746,-0.07729506952857891,0.12028670395975363,0.3562759681812126,-0.106078271687983,0.5464768843940971,0.8442898506946835,1.990310011127938,1.2267771177333169,1.3864954934269424,1.1821532446050276,1.2714725377381928,1.1939119644761955,2.1220233941269906,0.2153052785268762,1.0431992691680845
0.04,0.06,0.31,0.4,0.19,-0.045816464169307736,0.08048346645127342,0.09064785428889631,0.10197547873899933,0.000850964187242427,-6.2779404480528e-05,0.013368875509188966,-0.5389097624464219,-0.36389277544367826,-0.18887054193485556,0.035699629661483254,-0.08807007088091867,-0.012518066731663354,-0.07875034826175688,-0.12457702603856927,-0.02868594806462015,-0.03260525083655626,0.5315364094012809,-0.04516328548604744,0.3097227770108019,-0.018425387800157945,-0.10065387625213124,0.12711951910807623,0.41706511318855866,-0.029686062681346218,0.07707369475537423,0.08359719262236417,0.2566225020990352,0.051718441505653884,0.13804571237732347,-0.006007272062423924,0.007029164758788096,-0.4984284606761548,0.6659543459874997,-0.09621559300273692,-0.05534836015246472,0.07596220692845317,0.012550162153819707,0.16025017399322053,0.03320065713201901,0.03234609939471164,-0.08536158013073283,0.41933953796594403,-0.45940670191899324,-0.0739544993579253,-0.019327566338761842,0.04078800668308636,-0.46468069827068015,0.4942076978463945,0.19747257323191136,0.22814129949710374,-1.0783669837202472,-0.2682158822514249,0.7348047020248589,0.3954193055629995,0.6070575433597509,0.07233218500497211,0.2266148400550477,-0.1670371440469957,0.24846001315195027,1.8012888441799266,0.4353230170439092,1.19637833042198,2.7286027832667803,-1.2958914310981977,2.099864463509322,1.1642570239704209,1.5566841450814874,1.1148568336749818,1.2881303991920523
0.05,0.17,0.41,0.33,0.04,0.01142720324900439,0.2560993360352547,0.23352997869121367,0.45114563284442294,0.041281154524227225,-0.043505879429527355,-0.18391959301784022,-0.0864829187135897,-0.13690473942498285,0.05092576356658929,-0.06580174414513186,-0.18840653224782147,-0.5638916295557692,0.4241145585028182,-0.0173390847075863,-0.03560356706844499,-0.03581397007288174,0.8801351915251605,-0.16275046376597402,-0.0815870565754717,0.03422544722282154,-0.05410075309300079,-0.08519498331116812,0.5733283327624178,0.05042428055249894,0.00307588950919443,0.004601680019229781,0.2838591718500345,0.20134788699767117,0.018743908515867574,-0.020208098868591068,0.195322890532505,-0.19362615773459793,0.687027223574583,0.021452061021924623,-0.019601145850863637,-0.16376118815857843,-0.14975991871807182,0.23752039997862245,0.017935224260340724,-0.0982546013768238,0.20235816600462994,0.8905361537195452,-0.46773088882138353,-0.06778233182148434,-0.0418103134499474,0.1530157060737025,0.4660625970511422,-0.10901066573613681,-0.000991679290105848,0.9934833053441229,-0.3998873670193508,-0.4113244321534907,0.5643801340423881,0.5186823241335694,0.5116285368919975,0.6899679185258236,-0.07766662848855072,0.4591264977044835,0.46726564464865467,0.0310435108057693,-0.6342376023651918,0.170133555776066,0.0298789355888357,-0.584670149551952,0.2888272773347173,0.1570991247609877,-0.0617695839359124,0.2946736911575638,-0.1999053811896457
0.13,0.07,0.48,0.22,0.1,0.010422765742246806,0.047390017376147335,0.13700071890768128,0.051589742373808804,0.052026303394401556,0.08504417641237973,-0.1043309175162963,0.07498150147825809,-0.021119729429540785,0.0074624491085934,0.13832850866832658,-0.02144989628863798,0.4262979681279938,0.2821913372581461,0.14378992375485442,0.009079477759065105,-0.03281052390087608,1.1415568143506334,-0.037110014000791385,0.07792145922173742,0.1852340891593471,0.044848828197696165,-0.2868107070934727,0.07168361625339559,0.16045528453841765,-0.04105356446569029,0.06872057222642608,-0.6736466685023383,-0.029642861872106206,0.02371357297793761,-0.07107147912277192,-0.032032794824035496,-0.431161092086058,0.23575307201123036,0.03149640526833137,-0.059845080259220154,-0.002987771184836277,0.21564030817529434,-0.08716685720682535,0.13304107480258429,0.06638974385777306,0.04367894443945108,-0.1860318939643718,-0.1410864564501213,0.03374821300339595,-0.015250179919052313,-0.028354308009671703,-0.2889789505929719,-0.0666973894056848,-0.057365820271590165,0.29842954779428577,0.04203748005339413,0.9691578415206829,1.1586372134297684,0.1754111110553838,-0.6519089496357711,-0.26701588875330373,0.19868167432699685,-0.18330144911387303,-0.4566466481989709,0.1526069581208356,0.2936163761917297,0.1470487624042968,1.3139491534355998,-0.0829382943558918,-0.6780592926937471,0.1344218173153965,0.5382539524571911,-0.853402617965396,-1.302577343169385
